listing_id,id,date,reviewer_id,reviewer_name,comments
53671,223358026,1-1-2018,80204789,Adele,Lovely spacious apartment with beautiful  private bathroom ensuite. The apartment is a 20 minute walk to the centre and there is a tram and bus stop just up the road. It was perfect! We will be back :)
55256,223443645,1-1-2018,104838,April,Very large room in a central location.  Lotte was easy to communicate with both prior to and while we were there. Thanks!
96048,223519984,1-1-2018,157316164,Bobby,Well kept home. Rooms and beds are tiny. Not sure if the value is worth the price. Our host and location were great. Tuhami provide Tea and a hot pot which was lovely. His home is beautiful which made me want to avoid the historical house even more so. Great location near the trains and metro.
168769,223528554,1-1-2018,14593556,Dave,its a grate place right in center yet quiet and cozy :)
11600796,223997186,2-1-2018,7904094,Shaun,Hans gave us a warm welcome. easy check in and had great suggestions on where to eat and drink. He has a quiet home. easy to find and we had a very enjoyable stay. Definitely be back!
11609099,224049035,2-1-2018,39392622,YiChien,Location is quite nice. you can take tram or bus. but I recommend tram. the bus make me dizziness. The stairs in Amsterdam seems all small and steep. Be careful when you carry a big suitcase. The private room at Anne's house is very comfortable. Bathroom is very clean. And we also use the kitchen for prepare our meals. Anne is a wonderful host. She even invite us to join the year end dinner with her friends. We got a great vacation in Amsterdam.
11650024,223980326,2-1-2018,9223860,Alessandra,IT HAS BEEN A VERY PLEASANT STAY THANK YOU HARRY !
11773527,224017794,2-1-2018,97537650,Andrea,"L'appartamento di Kim è situato in una zona servita perfettamente dai mezzi pubblici, ben arredato. ottimo per due persone. con un balcone che affaccia sull'interno. offre una comodità e una fruibilità ottimale per chi desidera visitare Amsterdam."
11809899,224087453,2-1-2018,25254117,Benjamin,Really nice apartment with a beautiful decoration. Not far from the center and many shops near by. I Had a really good time in this flat. Thank you cali.
11830596,224038866,2-1-2018,27193727,Ali,Jonna is such a great host. Her flat is big enough to stay as a 2 couple with having privacy. All rooms have daylight which is really important in Netherlands. You have everything in the kitchen that you need to prepare your meals. We recommend Jonna's apartment for your Amsterdam trip.
11882378,224025475,2-1-2018,36509176,Marie,Very nice flat. it's perfect for a couple. Near  to the center of Amsterdam. clean and good equipement. Thanks Els for her host and I recommend.
11966081,224134613,2-1-2018,104381739,Antonio,El apartamento está bien y es muy cómodo.  La única pega es la distancia al centro. Barrio tranquilo con tren y metro cerca.
11966183,223999738,2-1-2018,110818660,Chady,It was a nice trip. it is a nice place next to the center. we really appreciate the property of this place and it wasn't that expensive for a trip during the winter break mostly during the new year. Thanks a lot Tjerk and hope to see you soon!
12058561,224113092,2-1-2018,39478256,Bowen,Dina and max were very helpful during the stay. Remember to ask if you have any questions. they will provide you with great tips like dining and transportation. Btw. there are many great restaurants nearby!!
12099302,224047237,2-1-2018,157177279,Efe,5 minutes away walking  from metro station and reach the centraal station is aprroximately 10 minutes.so classy neighbour
12120703,224057782,2-1-2018,124562627,Sydney,Great location and nice apartment!
12162671,223969229,2-1-2018,5335347,Irina,It was great! Perfect location. cozy apartment. clean. quite big for Europe. There were coffee and honey for guests:) And there was even the Christmas tree! Thanks a lot. we highly recommend this apartment and we definitely stay there next time in Amsterdam!
12216213,224096050,2-1-2018,72129151,Kasey,Such a cute place to stay in Amsterdam. Unique experience. definitely recommend!
12251311,223957008,2-1-2018,28916655,Noémie,Nous étions entre amis pour fêter le nouvel an. L'appartement est très fonctionnel avec une super déco. Manon a été très chaleureuse envers nous et nous a donné quelques conseils sur la ville. Nous sommes très contents de notre séjour chez elle.
12300663,224026583,2-1-2018,57650641,Yasser,Great location. lovely apartment.
12321072,224125173,2-1-2018,143554752,Emma,We had a great time celebrating the new year at Karins home! We felt very welcome and had our own privacy for the whole stay! Watching the fireworks as the new year came in from the jacuzzi was a highlight! Thanks for a lovely experience. would definitely recommend! Public transport to the location is easy enough using the tram!
12347938,224050866,2-1-2018,86311629,Olivia,Perfect location to visit Amsterdam! :)
12372306,223978417,2-1-2018,72290297,Aljoscha,Wir hatten echt eine wunderschöne Zeit in Amsterdam bei Stefania! Die Wohnung ist super gut gelegen und wir konnten viele Ziele fußläufig erreichen. Die Wohnung ist stilvoll eingerichtet und wir würden herzlich mit einem kleinen Geschenk empfangen. Auf dem Tisch war eine liebevoll geschriebene Broschüre was wir in Amsterdam machen können und worauf man achten sollte. Der Check-In hat auch super funktioniert. in dem wir im Café schräg gegenüber den hinterlegten Schlüssel abgeholt haben. Es ist schon etwas hellhörig in der Wohnung. Aber das war nicht weiter schlimm! Wir können einen Aufenthalt nur empfehlen
12415931,224062581,2-1-2018,93547513,Tereza,The place was lovely. cozy and stylish. It is a studio flat but perfect for a couple or a 3/4 friends. The bathroom is modern. there is everything you could possibly need in the studio(hairdryer. washing machine. ironing board. dishwasher etc.) and the area we were in felt very safe. It was also close to all the places we wanted to visit(central. museums). Lily gave great recommendations for food. drinks. shopping and there are plenty of books about Amsterdam in the flat both in Dutch and English that you can read if you further need more information. Overall we had a great time and would definitely stay again. Many thanks for having us in your cute warm cozy place :-) xx
12444222,224013750,2-1-2018,93219881,Julia,Excelente ubicación. desayuno completo y  amabilidad del personal. Muy recomendable !
12534679,224023518,2-1-2018,134415194,Mathieu,Friendly atmosphere and host ! The room is big. The flat is clean and quiet.  Everything available for coffee and tea in the room.
